Organization,Language,Work Location,Number of Positions,Area of Selection,Classification,Education,Process Number,Poster URL,Title,Open Date,Close date,Number of Applications
"Department of Justice Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","2019-JUS-IA-AS-932-119674","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1291185","Director, Evaluation","2019-04-08","2019-04-23",25
"Department of Justice Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","2017-JUS-IA-GB-4569-108305","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1036489","Director, Digital Communications and Creative Services","2017-05-12","2017-05-23",33
"Department of Justice Canada","Bilingual - imperative","National Capital Region","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","2019-JUS-IA-JG-21827-124401","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1393828","Director / Senior Director, Internal Audit","2020-01-06","2020-01-15",34
"Department of Justice Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","High school","2016-JUS-IA-SFL-20333-103347","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=916708","Director, Business Management","2016-05-03","2016-05-18",36
"Department of Justice Canada","Bilingual - imperative","National Capital Region","Multiple Positions","Internal Process, All Public Servants","EX01","Post-secondary","2022-JUS-IA-11669-138010","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1790414","Director, Legal Aid / Director, Family Law Assistance Services","2022-06-07","2022-06-21",36
"Department of Justice Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","2018-JUS-IA-AS-20328-112582","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1131499","Director, Business Management","2018-02-21","2018-03-07",42
"Department of Justice Canada","Bilingual - imperative","National Capital Region","Multiple Positions","Internal Process, All Public Servants","EX01","Post-secondary","2019-JUS-IA-JG-122626","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1352819","Director - Stream 1: Security and Emergency Management / Stream 2: Accommodations","2019-09-23","2019-10-07",45
"Department of Justice Canada","Bilingual - imperative","National Capital Region","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","2020-JUS-IA-20329-128346","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1508223","Director, Business Management","2020-11-02","2020-11-12",61
"Department of Justice Canada","Bilingual - imperative","Various locations","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","2022-JUS-IA-22497-140944","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1877034","Director, Business Management ** Amendment to the closing date","2022-11-21","2022-12-05",69
"Department of Justice Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","2022-JUS-IA-4569-139505","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1831390","Director, Communications (Anticipatory)","2022-09-28","2022-10-12",79
"Department of Justice Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","2016-JUS-IA-AS-4638-105882","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=976628","Director","2017-01-13","2017-01-27",104
"Department of Justice Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","education level unknown/not listed","2021-JUS-IA-134541-2","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1705294","Director, Research and Communications (Law Commission of Canada Team)","2021-12-23","2022-01-17",150
"Employment and Social Development Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","2015-CSD-DM-QUE-25093","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=840844","Director","2015-09-08","2015-09-14",3
"Employment and Social Development Canada","Bilingual - imperative","Alberta, Edmonton Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","2022-CSD-IA-WT-0032092","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1734283","Director","2022-02-22","2022-03-09",4
"Employment and Social Development Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","2018-CSD-IA-NHQ-14612","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1162900","Assignment opportunity for the position of Senior Advisor to the Deputy Minister **","2018-05-25","2018-06-05",5
"Employment and Social Development Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","2016-CSD-IA-NHQ-10893","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=880119","Director, Industrial Relations Advisory Service","2016-02-03","2016-02-17",6
"Employment and Social Development Canada","English essential","Nunavut, Nunavut","One Position","Internal Process, All Public Servants","EX01","Post-secondary","2018-CSD-IA-NUN-17994","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1199759","Director","2018-08-30","2018-09-17",9
"Employment and Social Development Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","2018-CSD-IA-NHQ-11935","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1134146","Director, Classification and Organizational Design","2018-03-15","2018-04-03",10
"Employment and Social Development Canada","English essential","Manitoba, Southern Manitoba","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","2018-CSD-IA-NHQ-13179","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1150485","Director","2018-04-06","2018-04-17",13
"Employment and Social Development Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","2015-CSD-IA-NHQ-22088","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=827152","Director","2015-07-30","2015-08-13",15
"Employment and Social Development Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","2019-CSD-IA-NHQ-15579","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1375821","Director, Old Age Security Policy","2019-11-05","2019-11-12",15
"Employment and Social Development Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Master's degree","2021-CSD-IA-NHQ-0092637","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1625935","Director, Labour Market and Skills Analysis","2021-06-29","2021-07-16",15
"Employment and Social Development Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","2016-CSD-IA-NHQ-10963","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=880540","Director, Dispute Resolution Services","2016-02-03","2016-02-17",16
"Employment and Social Development Canada","Bilingual - imperative","National Capital Region","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","2017-CSD-IA-NHQ-10869","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1011443","Bridge Officer (Executive Advisor to the Deputy Minister)","2017-03-10","2017-03-27",18
"Employment and Social Development Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","2018-CSD-IA-NHQ-14426","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1161509","Senior Director","2018-05-23","2018-06-01",18
"Employment and Social Development Canada","Bilingual - imperative","Québec, Québec Center","One Position","Internal Process, Other Area of Selection","EX01","education level unknown/not listed","2019-CSD-DM-QUE-13094","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1316784","Area Director","2019-06-10","2019-06-18",19
"Employment and Social Development Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","2018-CSD-IA-NHQ-11542","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1129129","Director, Quality Services","2018-02-15","2018-02-27",20
"Employment and Social Development Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","2022-CSD-IA-NHQ-0087788","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1809948","DIRECTOR, CANADA PENSION PLAN POLICY AND LEGISLATION (EX-01)","2022-07-05","2022-07-13",20
"Employment and Social Development Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Master's degree","2016-CSD-IA-NHQ-13398R","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=895475","Director, Strategic Data Development","2016-03-04","2016-03-10",22
"Employment and Social Development Canada","Bilingual - imperative","National Capital Region","Multiple Positions","Internal Process, All Public Servants","EX01","Post-secondary","2018-CSD-IA-NHQ-17134","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1190227","Director, Asset Management Policy and Procurement, Director, Investment and Performance Management","2018-09-06","2018-09-20",23
"Employment and Social Development Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","2018-CSD-IA-NHQ-21509","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1243835","Opportunity to be the Chief of Staff in the Deputy Minister's Office","2018-12-11","2018-12-17",23
"Employment and Social Development Canada","Bilingual - imperative","National Capital Region","Multiple Positions","Internal Process, All Public Servants","EX01","Post-secondary","2018-CSD-IA-NHQ-21796","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1246673","Director, EX-01 - Anticipatory Staffing","2018-12-14","2018-12-21",23
"Employment and Social Development Canada","English essential","Nunavut, Nunavut","One Position","External Process","EX01","Post-secondary","2018-CSD-EA-NHQ-16264","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1178896","Director","2018-08-30","2018-09-13",27
"Employment and Social Development Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","2017-CSD-IA-NHQ-13643","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1040315","Director, Financial Management and Advisory Services","2017-05-15","2017-05-26",28
"Employment and Social Development Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","2020-CSD-IA-NHQ-0014938","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1411210","Director, Sustainable Development Unit","2020-02-03","2020-02-12",28
"Employment and Social Development Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, All Public Servants","EX01","Post-secondary","2020-CSD-IA-NHQ-0090434","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1485159","Director, Project Management","2020-09-08","2020-09-22",33
"Employment and Social Development Canada","Bilingual - imperative","National Capital Region","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","2022-CSD-IA-NHQ-0189314","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1873353","Director","2022-10-31","2022-11-07",33
"Employment and Social Development Canada","Bilingual - imperative","National Capital Region","One Position","Internal Process, Other Area of Selection","EX01","Post-secondary","2019-CSD-IA-NHQ-14969","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1360872","Director, Enterprise Project Management Office (Anticipatory)","2019-09-24","2019-10-01",34
"Employment and Social Development Canada","Bilingual - imperative","National Capital Region","Multiple Positions","Internal Process, All Public Servants","EX01","Post-secondary","2019-CSD-IA-NHQ-16418","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1392663","Director of Communications","2019-12-12","2020-01-06",35
"Employment and Social Development Canada","Bilingual - imperative","National Capital Region","Multiple Positions","Internal Process, Other Area of Selection","EX01","Post-secondary","2019-CSD-IA-NHQ-15444","https://emploisfp-psjobs.cfp-psc.gc.ca/psrs-srfp/applicant/page1800?poster=1374551","Director (2 STREAMS)","2019-11-27","2019-12-11",36
